TIME:12:59:29,AM,IR1:30,IR2:45,US:76
TIME:12:59:30,AM,IR1:45,IR2:30,US:70
TIME:12:59:31,AM,IR1:60,IR2:30,US:58
TIME:12:59:32,AM,IR1:45,IR2:10,5 US:85
TIME:12:59:33,AM,IR1:15,IR2:60,US:41
TIME:12:59:34,AM,IR1:30,IR2:60,US:31
TIME:12:59:35,AM,IR1:15,IR2:45,US:82
TIME:12:59:36,AM,IR1:30,IR2:30,US:62
TIME:12:59:37,AM,IR1:60,IR2:60,US:46
TIME:12:59:37,AM,IR1:30,IR2:60,US:36
TIME:12:59:39,AM,IR1:30,IR2:45,US:30
TIME:12:59:39,AM,IR1:30,IR2:30,US:108
TIME:12:59:40,AM,IR1:30,IR2:30,US:102
TIME:12:59:41,AM,IR1:30,IR2:30,US:94
TIME:12:59:42,AM,IR1:30,IR2:30,US:82
TIME:12:59:43,AM,IR1:30,IR2:60,US:68
TIME:12:59:44,AM,IR1:60,IR2:60,US:52
TIME:12:59:45,AM,IR1:60,IR2:30,US:44
TIME:12:59:46,AM,IR1:30,IR2:30,US:34
TIME:12:59:47,AM,IR1:30,IR2:30,US:20
TIME:12:59:48,AM,IR1:15,IR2:30,US:13
TIME:12:59:48,AM,IR1:15,IR2:60,US:68
TIME:12:59:49,AM,IR1:30,IR2:45,US:100
TIME:12:59:50,AM,IR1:30,IR2:30,US:89
TIME:12:59:51,AM,IR1:60,IR2:45,US:83
TIME:12:59:52,AM,IR1:45,IR2:30,US:68
TIME:12:59:53,AM,IR1:30,IR2:45,US:56
TIME:12:59:53,AM,IR1:30,IR2:45,US:81
TIME:12:59:54,AM,IR1:30,IR2:30,US:114
TIME:12:59:55,AM,IR1:30,IR2:30,US:59
TIME:12:59:56,AM,IR1:45,IR2:30,US:87
TIME:12:59:57,AM,IR1:45,IR2:60,US:70
TIME:12:59:58,AM,IR1:60,IR2:30,US:54
TIME:12:59:58,AM,IR1:60,IR2:45,US:50
TIME:1:00:00,AM,IR1:30,IR2:30,US:47
TIME:1:00:01,AM,IR1:30,IR2:30,US:33
TIME:1:00:01,AM,IR1:15,IR2:30,US:24
TIME:1:00:02,AM,IR1:30,IR2:30,US:18
TIME:1:00:03,AM,IR1:15,IR2:30,US:13
TIME:1:00:04,AM,IR1:15,IR2:30,US:136
TIME:1:00:05,AM,IR1:30,IR2:30,US:125
TIME:1:00:06,AM,IR1:30,IR2:60,US:106
TIME:1:00:07,AM,IR1:45,IR2:30,US:92
TIME:1:00:09,AM,IR1:60,IR2:45,US:78
TIME:1:00:10,AM,IR1:45,IR2:60,US:62
TIME:1:00:11,AM,IR1:30,IR2:30,US:48
TIME:1:00:12,AM,IR1:30,IR2:60,US:223
TIME:1:00:13,AM,IR1:30,IR2:60,US:26
TIME:1:00:13,AM,IR1:30,IR2:30,US:20
TIME:1:00:14,AM,IR1:30,IR2:60,US:16
TIME:1:00:14,AM,IR1:45,IR2:45,US:191
TIME:1:00:15,AM,IR1:30,IR2:30,US:10
TIME:1:00:16,AM,IR1:15,IR2:60,US:5
TIME:1:00:16,AM,IR1:15,IR2:30,US:88
TIME:1:00:17,AM,IR1:30,IR2:75,US:83
TIME:1:00:17,AM,IR1:30,IR2:30,US:82
TIME:1:00:18,AM,IR1:45,IR2:60,US:70
TIME:1:00:19,AM,IR1:30,IR2:30,US:61
TIME:1:00:19,AM,IR1:45,IR2:45,US:57
TIME:1:00:19,AM,IR1:30,IR2:60,US:49
TIME:1:00:20,AM,IR1:30,IR2:30,US:41
TIME:1:00:21,AM,IR1:30,IR2:60,US:37
TIME:1:00:21,AM,IR1:30,IR2:30,US:33
